uri,nome,siglaSexo,dataNascimento,ufNascimento
https://dadosabertos.camara.leg.br/api/v2/deputados/227800,Duarte Gonçalves Jr,M,1980-09-11,MG
https://dadosabertos.camara.leg.br/api/v2/deputados/220686,Duarte Jr.,M,1986-09-15,RJ
https://dadosabertos.camara.leg.br/api/v2/deputados/220540,Duda Ramos,M,1974-05-19,AM
https://dadosabertos.camara.leg.br/api/v2/deputados/220623,Duda Salabert,F,1981-05-02,MG
https://dadosabertos.camara.leg.br/api/v2/deputados/204541,Eduardo Bismarck,M,1981-11-14,CE
https://dadosabertos.camara.leg.br/api/v2/deputados/92346,Eduardo Bolsonaro,M,1984-07-10,RJ
https://dadosabertos.camara.leg.br/api/v2/deputados/141421,Eduardo da Fonte,M,1972-10-17,PE
https://dadosabertos.camara.leg.br/api/v2/deputados/220589,Eduardo Velloso,M,1976-07-08,AC
https://dadosabertos.camara.leg.br/api/v2/deputados/74075,Elcione Barbalho,F,1944-10-05,PA
https://dadosabertos.camara.leg.br/api/v2/deputados/204364,Eli Borges,M,1960-09-01,GO
https://dadosabertos.camara.leg.br/api/v2/deputados/226553,Eliane Braz,F,1976-09-08,CE
https://dadosabertos.camara.leg.br/api/v2/deputados/229585,Elisangela Araujo,F,1973-08-29,BA
https://dadosabertos.camara.leg.br/api/v2/deputados/220008,Eliza Virgínia,F,1972-04-02,PB
https://dadosabertos.camara.leg.br/api/v2/deputados/178854,Elmar Nascimento,M,1970-07-06,BA
https://dadosabertos.camara.leg.br/api/v2/deputados/218086,Ely Santos,F,1977-01-13,SP
https://dadosabertos.camara.leg.br/api/v2/deputados/198783,Emanuel Pinheiro Neto,M,1995-01-05,MT
https://dadosabertos.camara.leg.br/api/v2/deputados/161550,Emidinho Madeira,M,1967-03-10,MG
https://dadosabertos.camara.leg.br/api/v2/deputados/225730,Enfermeira Ana Paula,F,1983-11-17,CE
https://dadosabertos.camara.leg.br/api/v2/deputados/230765,Enfermeira Rejane,F,1963-08-24,RJ
https://dadosabertos.camara.leg.br/api/v2/deputados/132504,Enio Verri,M,1961-03-27,PR
https://dadosabertos.camara.leg.br/api/v2/deputados/220663,Eriberto Medeiros,M,1965-09-26,PE
https://dadosabertos.camara.leg.br/api/v2/deputados/220645,Erika Hilton,F,1992-12-09,SP
https://dadosabertos.camara.leg.br/api/v2/deputados/160575,Erika Kokay,F,1957-08-15,CE
https://dadosabertos.camara.leg.br/api/v2/deputados/160640,Eros Biondini,M,1971-05-20,MG
https://dadosabertos.camara.leg.br/api/v2/deputados/204482,Euclydes Pettersen,M,1984-08-15,MG
